Switch Name,Type,Top Housing Material,Bottom Housing Material,Stem Material,Mount Type,Spring,Act. Weight,Bot.-Out Weight,Pre-Travel Dist.,Total Travel Dist.
Kailh Box Taro Ice Cream Pro,Linear,,,POM,PCB (5-pin),20 mm Stainless Steel Spring,37g,,1.30 mm,3.50 mm
Kailh Box Tea Ice Cream,Tactile,POM,POM,POM,PCB (5-pin),19 mm Stainless Steel Spring,37g,50g,2.00 mm,3.60 mm
Kailh Box White,Clicky,PC,Nylon,POM,Plate (3-pin),Kailh Box Spring,50g,60g,1.80 mm,3.60 mm
Kailh Box White Owl,Clicky,PC,POM,POM,PCB (5-pin),Stainless Steel Spring,46g,70g,1.80 mm,3.60 mm
Kailh Box White V2,Clicky,PC,Nylon,POM,Plate (3-pin),Kailh Box Spring,45g,55g,1.80 mm,3.60 mm
Kailh Box Winter,Tactile,PC,POM,POM,PCB (5-pin),Stainless Steel Spring,38g,55g,2.00 mm,3.60 mm
Kailh Brown,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,65g,1.90 mm,4.00 mm
Kailh Canary,Tactile,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,42g,70g,2.00 mm,4.00 mm
Kailh Cardamom,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,1.90 mm,3.50 mm
Kailh Choc Mini Black Low Profile,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,65g,1.20 mm,2.40 mm
Kailh Choc Mini Brown Low Profile,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,60g,1.20 mm,2.40 mm
Kailh Choc Mini White Low Profile,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,60g,1.20 mm,2.40 mm
Kailh Choc Pro Pink Low Profile,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,20g,,1.50 mm,3.00 mm
Kailh Choc Pro Red Low Profile,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,35g,,1.50 mm,3.00 mm
Kailh Choc Pro Robin Low Profile,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,47g,,1.50 mm,3.00 mm
Kailh Choc Pro Silver Low Profile,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,40g,,1.50 mm,3.00 mm
Kailh Choc V1 Black Low Profile,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,,1.50 mm,3.00 mm
Kailh Choc V1 Blue Low Profile,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,25g,,1.50 mm,3.00 mm
Kailh Choc V1 Brown Low Profile,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,,1.50 mm,3.00 mm
Kailh Choc V1 Burnt Orange Low Profile,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,70g,,1.50 mm,3.00 mm
Kailh Choc V1 Jade Low Profile,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,,1.50 mm,3.00 mm
Kailh Choc V1 Navy Low Profile,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,60g,,1.50 mm,3.00 mm
Kailh Choc V1 Pale Blue Low Profile,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,70g,,1.50 mm,3.00 mm
Kailh Choc V1 Purple Low Profile,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,25g,,1.50 mm,3.00 mm
Kailh Choc V1 Red Low Profile,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,,1.50 mm,3.00 mm
Kailh Choc V1 Transparent Red Low Profile,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,35g,,1.50 mm,3.00 mm
Kailh Choc V1 White Low Profile,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,,1.50 mm,3.00 mm
Kailh Choc V1 Yellow Low Profile,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,70g,,1.50 mm,3.00 mm
Kailh Choc V2 Blue Low Profile,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,48g,75g,1.30 mm,3.20 mm
Kailh Choc V2 Brown Low Profile,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,80g,1.30 mm,3.20 mm
Kailh Choc V2 Full POM Ghost Low Profile,Linear,POM,POM,POM,PCB (5-pin),15.5 mm Stainless Steel Spring,50g,60g,1.20 mm,2.80 mm
Kailh Choc V2 Full POM Phantom Low Profile,Tactile,POM,POM,POM,PCB (5-pin),15.5 mm Stainless Steel Spring,45g,60g,1.60 mm,2.80 mm
Kailh Choc V2 Full POM Wizard Low Profile,Clicky,POM,POM,POM,PCB (5-pin),15.5 mm Stainless Steel Spring,50g,60g,1.20 mm,2.80 mm
Kailh Choc V2 Low Profile Silent,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,43g,,1.30 mm,2.80 mm
Kailh Choc V2 Low Profile Silent,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,1.30 mm,2.80 mm
Kailh Choc V2 Red Low Profile,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,43g,75g,1.30 mm,3.20 mm
Kailh Clione Limacina,Linear,PC,PC,PC,PCB (5-pin),20.5 mm Spring,58g,68g,1.90 mm,4.00 mm
Kailh Clione Limacina,Tactile,PC,PC,PC,PCB (5-pin),20.5 mm Spring,58g,75g,1.90 mm,4.00 mm
Kailh Crystal Burgundy Pro,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,37g,45g,1.30 mm,3.40 mm
Kailh Cyberpunk - 62g,Tactile,PC,,POM,PCB (5-pin),Stainless Steel Spring,62g,67g,,
Kailh Cyberpunk - 67g,Tactile,PC,,POM,PCB (5-pin),Stainless Steel Spring,67g,72g,,
Kailh Dustproof Blue,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,,,
Kailh EVA - 62g,Tactile,PC,,POM,PCB (5-pin),Stainless Steel Spring,62g,67g,,
Kailh EVA - 67g,Tactile,PC,,POM,PCB (5-pin),Stainless Steel Spring,67g,72g,,
Kailh Flame Hall Effect,Hall Effect,POM,POM,POM,,Stainless Steel Spring,,,,3.80 mm
Kailh Hako True,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,60g,95g,1.80 mm,3.60 mm
Kailh Halo Clear,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,52g,78g,1.90 mm,4.00 mm
Kailh Halo True,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,54g,100g,1.90 mm,4.00 mm
Kailh Indigo Naturalis,Tactile,PC,PC,,PCB (5-pin),Stainless Steel Spring,40g,,2.00 mm,4.00 mm
Kailh Juliet,Linear,POK,POM,POM,PCB (5-pin),Stainless Steel Spring,40g,,1.20 mm,3.40 mm
Kailh KH Blue,Clicky,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,,1.50 mm,3.50 mm
Kailh KH Brown,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,,1.50 mm,3.50 mm
Kailh KH Red,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,,1.50 mm,3.50 mm
Kailh Knight Saber,Tactile,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,42g,60g,,4.00 mm
Kailh Magnetic,Hall Effect,POM,POM,POM,,Stainless Steel Spring,100Gs,2000Gs,,3.80 mm
Kailh Midnight Jade,Clicky,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,50g,60g,2.00 mm,3.60 mm
Kailh Midnight Pro Silent,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,1.90 mm,4.00 mm
Kailh Midnight Pro Silent,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,60g,1.90 mm,3.70 mm
Kailh Midnight Silent,Linear,PC,Nylon,POM,PCB (5-pin),21.75 mm Stainless Steel Spring,45g,50g,2.00 mm,4.00 mm
Kailh Midnight Silent,Tactile,PC,Nylon,POM,PCB (5-pin),17.8 mm Stainless Steel Spring,40g,60g,1.90 mm,4.00 mm
Kailh Mistral Hall Effect,Hall Effect,POM,POM,POM,,Stainless Steel Spring,,,,3.80 mm
Kailh Optical Dustproof Black,Linear,PC,Nylon,POM,,Stainless Steel Spring,60g,,,
Kailh Optical Dustproof Dark Blue,Clicky,PC,Nylon,POM,,Stainless Steel Spring,50g,,,
Kailh Optical Dustproof Red,Linear,PC,Nylon,POM,,Stainless Steel Spring,45g,,,
Kailh Peach Pudding,Linear,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,45g,,1.20 mm,3.60 mm
Kailh Polia,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,80g,1.90 mm,3.80 mm
Kailh Pro Burgundy,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,70g,1.70 mm,3.60 mm
Kailh Pro Heavy Berry,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,70g,,1.70 mm,3.60 mm
Kailh Pro Heavy Plum,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,70g,,1.70 mm,3.60 mm
Kailh Pro Heavy Sage,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,70g,,1.70 mm,3.60 mm
Kailh Pro Light Green,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,60g,1.70 mm,3.60 mm
Kailh Pro Purple,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,70g,1.70 mm,3.60 mm
Kailh Purple Potato,Tactile,POM,POM,POM,PCB (5-pin),18 mm Stainless Steel Extension Spring,,63.5g,2.00 mm,4.00 mm
Kailh Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,70g,1.90 mm,4.00 mm
Kailh Romeo,Linear,POK,POM,POM,PCB (5-pin),Stainless Steel Spring,55g,,1.20 mm,3.40 mm
Kailh Speed Bronze,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,70g,1.10 mm,3.50 mm
Kailh Speed Copper,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,40g,60g,1.10 mm,3.50 mm
Kailh Speed Gold,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,60g,1.40 mm,3.50 mm
Kailh Speed Pale Blue,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,70g,,1.10 mm,3.50 mm
Kailh Speed Pink,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,70g,1.10 mm,3.50 mm
Kailh Speed Pro Burgundy,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,,1.70 mm,3.60 mm
Kailh Speed Pro Heavy Berry,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,70g,100g,1.70 mm,3.60 mm
Kailh Speed Pro Heavy Navy,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,70g,100g,1.20 mm,3.50 mm
Kailh Speed Pro Heavy Plum,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,70g,100g,1.70 mm,3.60 mm
Kailh Speed Pro Heavy Sage,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,70g,100g,1.70 mm,3.60 mm
Kailh Speed Silver,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,1.10 mm,3.50 mm
Kailh Sun,Clicky,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,1.90 mm,3.80 mm
Kailh Super Speed Bronze,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,48g,68g,1.10 mm,3.50 mm
Kailh Super Speed Copper,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,38g,60g,1.10 mm,3.50 mm
Kailh Super Speed Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,37g,40g,1.80 mm,4.00 mm
Kailh Super Speed Silver,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,38g,50g,1.10 mm,3.50 mm
Kailh Ultimate Taichi,Linear,PC,PC,POM,PCB (5-pin),20 mm Stainless Steel Spring,45g,58g,1.30 mm,3.60 mm
Kailh White Wing,Tactile,,,,Plate (3-pin),Stainless Steel Spring,42g,,2.00 mm,3.50 mm
Kailh Yellow,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Katano USw LMBW02,Linear,Nylon,Nylon,POM,,Stainless Steel Spring,,,,
KBDFans Hamster,Linear,HPE,Nylon,UPE,PCB (5-pin),Two-Stage Gold-Plated Spring,55g,63.5g,2.00 mm,3.50 mm
KBDFans MiTo Laser - 60g,Linear,Nylon,Nylon,POM,PCB (5-pin),Gold-Plated Spring,,60g,,
KBDFans MiTo Laser - 74g,Linear,Nylon,Nylon,POM,PCB (5-pin),Gold-Plated Spring,,74g,,
KBDFans Roller,Linear,Proprietary INK Blend,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,3.50 mm
KBDiy Fantasy KB1 Virus,Tactile,PC,PC,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,58g,,,3.60 mm
KBDiy Fantasy KB2 Orange,Tactile,,,,PCB (5-pin),Stainless Steel Spring,43g,,,
KBDiy Fantasy KB3 DVA,Linear,,,,PCB (5-pin),Stainless Steel Spring,37g,,,
KBDiy Periwinkle,Linear,PC,Nylon,POM,Plate (3-pin),15 mm Stainless Steel Spring,50g,60g,2.00 mm,4.00 mm
KeBo Arctos - 65g,Tactile,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,,72g,,
KeBo Arctos - 72g,Tactile,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,,72g,,
Keebfront Bigwig,Linear,HPE,PBT,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,,67g,,
Keebfront Coley,Linear,Nylon,PBT,POM,PCB (5-pin),20 mm Two-Stage Stainless Steel Spring,,63.5g,,
Keebfront Doom,Linear,HPE,Nylon,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,,63.5g,,
Keebfront Doom,Tactile,HPE,Nylon,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,,63.5g,,
Keebfront Honeycomb,Linear,PC,Nylon,POM,PCB (5-pin),18 mm Two-Stage Stainless Steel Spring,,65g,,
Keebhut Tropical Waters V1,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Stainless Steel Spring,,68g,,
Keebhut Tropical Waters V2,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Stainless Steel Spring,,60g,,
Keebox Caramel Mousse,Linear,POK,Nylon,POM,PCB (5-pin),15 mm Single-Stage Japanese Spring,30g,37g,2.00 mm,4.00 mm
Keebwerk Bushi Silent,Tactile,PC,Nylon,,PCB (5-pin),Gold-Plated Spring,62g,,2.00 mm,3.80 mm
Keebwerk Tacit,Tactile,PC,Nylon,POM,PCB (5-pin),Gold-Plated Spring,,67g,2.00 mm,3.80 mm
Keebz N Cables Ice Kachang Final,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel spring,,58g,,3.20 mm
Keebz N Cables Ice Kachang V1,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,,3.20 mm
Keebz N Cables Ice Kachang V2,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,55g,,3.20 mm
Keebz N Cables Mountain King,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,,3.10 mm
Keebz N Cables Taro N Sweet Potato,Linear,POK,LY,LY,PCB (5-pin),22 mm Single-Stage Stainless Steel Spring,,60g,,3.40 mm
Kelowna Crimson,Linear,PC,Nylon,POM,Plate (3-pin),Two-Stage Gold-Plated Spring,50g,60g,,
KeyBay Bronze Diamond,Linear,Nylon,Nylon,POM,PCB (5-pin),20 mm Single-Stage Stainless Steel Spring,55g,63g,1.90 mm,3.80 mm
KeyBay W1 Black Diamond Black,Linear,Nylon,Nylon,POM,PCB (5-pin),18 mm Stainless Steel Spring,45g,55g,,3.60 mm
KeyBay W1 Black Diamond Blue,Linear,Nylon,Nylon,POM,PCB (5-pin),21.5 mm Stainless Steel Spring,45g,55g,,3.80 mm
KeyBay W1 Black Diamond Green,Linear,Nylon,Nylon,POM,PCB (5-pin),21.5 mm Stainless Steel Spring,45g,55g,,3.80 mm
KeyBay W1 Black Diamond Pink,Linear,Nylon,Nylon,POM,PCB (5-pin),21.5 mm Stainless Steel Spring,45g,55g,,4.00 mm
KeyBay W1 Black Diamond Purple,Linear,Nylon,Nylon,POM,PCB (5-pin),21.5 mm Stainless Steel Spring,45g,55g,,4.00 mm
KeyBay W1 Black Diamond Red,Linear,Nylon,Nylon,POM,PCB (5-pin),21.5 mm Stainless Steel Spring,45g,55g,,3.80 mm
KeyBay W1 Black Diamond Silver,Linear,Nylon,Nylon,POM,PCB (5-pin),18 mm Stainless Steel Spring,45g,55g,,3.40 mm
KeyBay W1 Black Diamond Yellow,Linear,Nylon,Nylon,POM,PCB (5-pin),21.5 mm Stainless Steel Spring,45g,55g,,4.00 mm
KeyBay W1 White Diamond Pink,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,,3.60 mm
KeyBay W1 White Diamond Purple,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,,3.60 mm
KeyBay W1 White Diamond Yellow,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,,3.60 mm
Keychron Aurora Hall Effect,Hall Effect,PC,Nylon,POM,,Stainless Steel Spring,50g,70g,,4.00 mm
Keychron Blue,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,60g,,2.00 mm,4.00 mm
Keychron Brown,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,55g,,2.00 mm,4.00 mm
Keychron Camo Camel,Linear,Nylon,Nylon,POM,Plate (3-pin),Gold-Plated Spring,40g,,2.00 mm,4.00 mm
Keychron Camo Green,Linear,Nylon,Nylon,POM,Plate (3-pin),Gold-Plated Spring,40g,,2.00 mm,4.00 mm
Keychron Camo Light Green,Linear,Nylon,Nylon,POM,Plate (3-pin),Gold-Plated Spring,40g,,2.00 mm,4.00 mm
Keychron Camo Wheat,Linear,Nylon,Nylon,POM,Plate (3-pin),Gold-Plated Spring,40g,,2.00 mm,4.00 mm
Keychron Dawn Hall Effect,Hall Effect,PC,Nylon,POM,,Stainless Steel Spring,30g,50g,,4.00 mm
Keychron K Pro Banana,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,57g,,2.20 mm,3.30 mm
Keychron K Pro Blue,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,60g,,2.00 mm,4.00 mm
Keychron K Pro Brown,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Keychron K Pro Brown Silent,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,55g,60g,2.00 mm,3.90 mm
Keychron K Pro Mint,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,67g,,2.20 mm,3.30 mm
Keychron K Pro Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Keychron K Pro Red Silent,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Keychron K Pro Silver,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,42g,,1.30 mm,3.30 mm
Keychron K Pro White Silent,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,48g,50g,2.00 mm,4.00 mm
Keychron K Pro Yellow,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Keychron Lava Optical Banana,Tactile,PC,Nylon,POM,,Stainless Steel Spring,57g,,1.80 mm,4.00 mm
Keychron Lava Optical Blue,Clicky,PC,Nylon,POM,,Stainless Steel Spring,55g,,1.80 mm,4.00 mm
Keychron Lava Optical Brown,Tactile,PC,Nylon,POM,,Stainless Steel Spring,57g,,1.80 mm,4.00 mm
Keychron Lava Optical Mint,Tactile,PC,Nylon,POM,,Stainless Steel Spring,67g,,1.80 mm,4.00 mm
Keychron Lava Optical Red,Linear,PC,Nylon,POM,,Stainless Steel Spring,40g,,1.80 mm,4.00 mm
Keychron Low Profile Banana,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,55g,60g,1.40 mm,3.10 mm
Keychron Low Profile Optical Banana,Tactile,PC,Nylon,POM,,Stainless Steel Spring,57g,,1.10 mm,2.50 mm
Keychron Low Profile Optical Black,Linear,PC,Nylon,POM,,Stainless Steel Spring,50g,,1.10 mm,2.50 mm
Keychron Low Profile Optical Blue,Clicky,PC,Nylon,POM,,Stainless Steel Spring,48g,,1.10 mm,2.50 mm
Keychron Low Profile Optical Brown,Tactile,PC,Nylon,POM,,Stainless Steel Spring,57g,,1.10 mm,2.50 mm
Keychron Low Profile Optical Mint,Tactile,PC,Nylon,POM,,Stainless Steel Spring,67g,,1.10 mm,2.50 mm
Keychron Low Profile Optical Orange,Clicky,PC,Nylon,POM,,Stainless Steel Spring,55g,,1.10 mm,2.50 mm
Keychron Low Profile Optical Red,Linear,PC,Nylon,POM,,Stainless Steel Spring,40g,,1.10 mm,2.50 mm
Keychron Low Profile Optical White,Linear,PC,Nylon,POM,,Stainless Steel Spring,30g,,1.10 mm,2.50 mm
Keychron Low Profile Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,50g,1.30 mm,3.10 mm
Keychron Low Profile Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,50g,1.30 mm,3.10 mm
Keychron Nebula Hall Effect,Hall Effect,PC,Nylon,POM,,Stainless Steel Spring,40g,60g,,4.00 mm
Keychron Optical Blue,Clicky,PC,Nylon,POM,,Stainless Steel Spring,55g,,1.80 mm,4.00 mm
Keychron Optical Brown,Tactile,PC,Nylon,POM,,Stainless Steel Spring,55g,,1.80 mm,4.00 mm
Keychron Optical Red,Linear,PC,Nylon,POM,,Stainless Steel Spring,40g,,1.80 mm,4.00 mm
Keychron Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,,2.00 mm,4.00 mm
Keychron Super Banana,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,47g,60g,2.00 mm,3.60 mm
Keychron Super Brown,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,60g,2.00 mm,3.60 mm
Keychron Super Red,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,50g,2.00 mm,4.00 mm
Keycool Aurora Orange,Tactile,,,,PCB (5-pin),Stainless Steel Spring,47g,65g,2.20 mm,4.00 mm
Keycool Aurora Pink,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,37g,45g,1.50 mm,3.60 mm
Keycool Ice Crystal,Linear,,,,,Stainless Steel Spring,40g,50g,2.10 mm,3.50 mm
Keyfirst Bling Blue,Linear,PC,PC,POM,PCB (5-pin),Two-Stage Gold-Plated Spring,67g,75g,2.00 mm,3.80 mm
Keyfirst Bling Green,Linear,PC,PC,POM,PCB (5-pin),Two-Stage Gold-Plated Spring,80g,100g,2.00 mm,3.80 mm
Keyfirst Bling Pink,Linear,PC,PC,POM,PCB (5-pin),Two-Stage Gold-Plated Spring,30g,60g,2.00 mm,3.80 mm
Keyfirst Bling Purple,Linear,PC,PC,POM,PCB (5-pin),Two-Stage Gold-Plated Spring,62g,75g,2.00 mm,3.80 mm
Keyfirst Bling Yellow,Linear,PC,PC,POM,PCB (5-pin),Two-Stage Gold-Plated Spring,30g,40g,2.00 mm,3.80 mm
Keygeek Avalon - 3.5 mm,Linear,Nylon,PBT,UPE,PCB (5-pin),Stainless Steel Spring,,63g,2.00 mm,3.50 mm
Keygeek Avalon - 3.8 mm,Linear,Nylon,PBT,UPE,PCB (5-pin),Stainless Steel Spring,,63g,2.00 mm,3.80 mm
Keygeek Avocado,Linear,UPE,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,55g,2.00 mm,3.80 mm
Keygeek Begonia,Linear,POM,PBT,UPE,PCB (5-pin),Stainless Steel Spring,43.5g,52g,,3.80 mm
Keygeek Candling Dragon V2,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,58g,,3.60 mm
Keygeek Gulf,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,42g,52g,2.00 mm,3.90 mm
Keygeek Jasmine Milk Tea,Linear,POK,Nylon,POM,PCB (5-pin),20 mm Two-Stage Stainless Steel Spring,,55g,1.80 mm,4.00 mm
Keygeek Luxury,Linear,UHMWPE,Nylon,POM,PCB (5-pin),22 mm Stainless Steel Spring,,63.5g,,
Keygeek Mirror Lake,Linear,R1,PBT,UPE,PCB (5-pin),21 mm Single-Stage Japanese Spring,45g,53g,2.00 mm,3.80 mm
Keygeek Muguet Rose,Linear,R1,R1,UPE,PCB (5-pin),22 mm Single-Stage Stainless Steel Spring,45g,48g,2.00 mm,4.00 mm
Keygeek Night Zephyr,Linear,POM,POM,UPE,PCB (5-pin),Stainless Steel Spring,,50g,2.00 mm,3.90 mm
Keygeek Pink Jade,Linear,Nylon,Nylon,UPE,PCB (5-pin),Stainless Steel Spring,,,,
Keygeek Raspberry,Linear,HPE,Nylon,POM,PCB (5-pin),Stainless Steel Spring,43g,53g,,
Keygeek RAW,Linear,Nylon,UPE,POM,PCB (5-pin),22 mm Single-Stage Spring,,57.5g,1.80 mm,3.70 mm
Keygeek Xiaoxin,Linear,,,,PCB (5-pin),Stainless Steel Spring,,,,
Keygeek Zimiao,Linear,UHMWPE,Nylon,POM,PCB (5-pin),18 mm Single-Stage Stainless Steel Spring,,42g,1.80 mm,3.80 mm
KeysPensory Tsavorite,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Stainless Steel Spring,48g,55g,,
KFA N2O,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Stainless Steel Spring,,63.5g,,3.50 mm
KFA Pink Robin,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Gold-Plated Spring,,63.5g,,3.50 mm
Kight Purple-ish,Linear,PME,Nylon,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,,55g,,
KiiBOOM Crystal,Linear,PC,PC,Nylon,PCB (5-pin),Stainless Steel Spring,55g,60g,1.60 mm,3.60 mm
KiiBOOM Emerald,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,48g,55g,2.00 mm,3.20 mm
KiiBOOM Jacaranda,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,1.60 mm,3.80 mm
KiiBOOM Matcha Latte,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,62g,1.60 mm,3.60 mm
KiiBOOM Pink Rose,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,38g,42g,1.60 mm,3.80 mm
KiiBOOM Sapphire,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,54g,58g,2.20 mm,3.20 mm
KiiBOOM Taro Cream Milk,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,54g,62g,1.70 mm,3.20 mm
